"","sample","well","depth","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h_mean","pw_t1","pw_t2","pw_t3","sw_t1","sw_t2","p_wave","s_wave","dry_mass","subm_mass","sat_mass","bulk_vol","pore_volum","porosity","density","lava_1","lava_2","lava_dist_base","exp_1","exp_2","total_points","comp_quartz","comp_feldspar","comp_lithic","qtz_mono","qtz_poly","qtz_deformed","f_plagio","f_microcline","f_ortoclase","lt_metamorphic","lt_plutonic","lt_vulcanic","lt_sedimentary","por_primary","por_moldic","por_intragranular","por_total","por_IGV","con_float","con_point","con_linear","con_cc","con_sutured","con_tontal","cem_zeolite","cem_qtz","cem_calcite","cem_semctite","cem_ilite","cem_albite","cem_chloriet","cem_ironoxide","cem_gypsum","cem_dolomite","cem_total","gs_silt","gs_vfs","gs_fs","gs_ms","gs_cs","gs_vcs","gs_sorting","gm_high_sphericity","gm_low_sphericity","gm_angular","gm_subangular","gm_subrounded","gm_rounded","lava_1_base","lava_1_top","lava_2_base","lava_2_top","dis_1_top","dis_1_base","dis_2_top","dis_2_base","dis_l1","dis_l2","distance"
"1","RB-01","TG-27",1.25,25.98,26.86,25.7,26.56,25.46,25.93,26.62,25.28,26.45,26.48,26.132,4.78,4.68,NA,7.38,7.33,5.52,3.55,50.45,29.35,50.5,21.15,0.05,0.24,2.39,97,NA,89.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,89.6,NA,NA,88.35,-95.75,NA,NA,88.35,NA,88.35
"2","RB-02","TG-27",1.9,44.92,44.93,45.04,44.94,44.78,44.8,44.88,44.92,45.03,44.89,44.913,13.63,13.93,NA,18.63,18.83,3.26,2.4,52.1,31.81,55.33,23.52,3.23,13.73,2.22,97,NA,89.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,89.6,NA,NA,87.7,-95.1,NA,NA,87.7,NA,87.7
"3","RB-03","TG-27",2.9,44.04,43.49,43.5,42.96,42.76,43.45,43.58,43.44,43.56,43.71,43.449,13.53,12.73,NA,15.93,15.63,3.31,2.75,35.26,26.5,37.76,11.26,2.5,22.2,3.13,97,NA,89.7,7.4,NA,356,64.4736842105263,21.7105263157895,13.8157894736842,93.3673469387755,0.510204081632653,6.12244897959184,43.5483870967742,53.2258064516129,3.2258064516129,5.12820512820513,76.9230769230769,15.3846153846154,2.56410256410256,16.0112359550562,0.280898876404494,4.7752808988764,21.0674157303371,23.5955056179775,0.213903743315508,28.4491978609626,42.8877005347594,21.283422459893,7.16577540106952,100,0,0,2,5,0,0,0,2,0,0,9,4.10958904109589,8.9041095890411,21.9178082191781,28.0821917808219,33.5616438356164,3.42465753424658,1.204,53.6231884057971,46.3768115942029,24.0875912408759,18.2481751824818,39.4160583941606,18.2481751824818,97,89.6,NA,NA,86.7,-94.1,NA,NA,86.7,NA,86.7
"4","RB-04","TG-27",3.9,47.45,46.67,46.45,46.14,46.52,47.06,47.43,48.79,47.82,47.68,47.201,13.68,13.73,NA,16.23,16.93,3.44,2.85,54.56,34.03,58.86,24.83,4.3,17.32,2.2,97,NA,89.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,89.6,NA,NA,85.7,-93.1,NA,NA,85.7,NA,85.7
"5","RB-05","TG-27",4.9,45.59,45.43,45.28,45.34,45.3,45.24,45.2,45.25,45.28,45.36,45.327,13.48,12.58,NA,14.23,14.23,3.48,3.19,56.21,35.5,59.39,23.89,3.18,13.31,2.35,97,NA,89.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,89.6,NA,NA,84.7,-92.1,NA,NA,84.7,NA,84.7
"6","RB-00","TG-27",89.5,46.04,45.92,45.61,45.21,45.32,46.06,45.98,46.02,45.97,44.95,45.708,10.57,10.53,NA,12.93,13.23,4.33,3.49,61.55,37.05,62.14,25.09,0.59,2.35,2.45,97,NA,89.7,7.4,NA,300,59.9221789883268,22.9571984435798,17.1206225680934,90.9090909090909,1.94805194805195,7.14285714285714,46,52,2,13.6363636363636,50,27.2727272727273,9.09090909090909,0,0,0.333333333333333,0.333333333333333,22,0.371057513914657,19.2949907235622,48.7940630797774,26.1595547309833,5.38033395176252,100,0,1,0,0,0,0,5,3,0,56,65,10.1351351351351,16.2162162162162,27.027027027027,24.3243243243243,18.2432432432432,4.05405405405405,1.649,58.6466165413534,41.3533834586466,18.0451127819549,30.8270676691729,24.0601503759398,27.0676691729323,97,89.6,NA,NA,0.0999999999999943,-7.5,NA,NA,0.0999999999999943,NA,0.0999999999999943
"7","RB-06","TG-27",97.2,66.27,66.45,66.88,66.22,66.24,66.12,66.27,66.2,66.38,66.3,66.333,14.38,14.38,NA,22.43,21.03,4.61,3.05,51.81,31.66,53.45,21.79,1.64,7.53,2.38,97,NA,89.7,7.4,NA,303,65.1982378854625,25.1101321585903,9.69162995594714,86.4864864864865,0.675675675675676,12.8378378378378,36.9565217391304,60.8695652173913,2.17391304347826,26.3157894736842,47.3684210526316,26.3157894736842,0,4.62046204620462,0.99009900990099,5.61056105610561,11.2211221122112,31.6831683168317,1.26582278481013,31.4647377938517,30.5605786618445,30.0180831826401,6.69077757685353,100,0,0,0,6,0,0,0,0,0,56,62,8.63309352517986,16.5467625899281,13.6690647482014,39.568345323741,18.705035971223,2.87769784172662,1.555,64.0287769784173,35.9712230215827,14.3884892086331,26.6187050359712,46.0431654676259,12.9496402877698,97,89.6,NA,NA,-7.60000000000001,0.200000000000003,NA,NA,0.200000000000003,NA,0.200000000000003
"8","RB-07","TG-27",97.7,48.28,48.54,48.38,48.14,48,48.35,48.34,48.31,48.27,48.01,48.262,18.13,16.08,15.39,23.03,20.63,3.07,2.21,28.47,15.29,30.03,14.74,1.56,10.58,1.93,97,NA,89.7,7.4,NA,300,64.1255605381166,27.8026905829596,8.07174887892377,89.5104895104895,0,10.4895104895105,48,46,6,5.55555555555556,66.6666666666667,16.6666666666667,11.1111111111111,9.33333333333333,1,3,13.3333333333333,29.6666666666667,0.666666666666667,35.5,34.5,23.1666666666667,6.16666666666667,100,0,0,36,11,0,2,0,0,0,0,49,9.15492957746479,23.2394366197183,30.9859154929577,27.4647887323944,7.74647887323944,1.40845070422535,1.422,67.1428571428571,32.8571428571429,14.8148148148148,15.5555555555556,49.6296296296296,20,97,89.6,NA,NA,-8.10000000000001,0.700000000000003,NA,NA,0.700000000000003,NA,0.700000000000003
"9","RB-08","TG-27",98.3,39.79,40.02,39.8,39.68,39.82,39.68,39.92,39.88,39.67,39.84,39.81,17.13,15.33,NA,23.83,24.23,2.45,1.66,29.42,18.39,29.74,11.35,0.32,2.82,2.59,97,NA,89.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,89.6,NA,NA,-8.7,1.3,NA,NA,1.3,NA,1.3
"10","RB-09","TG-27",98.55,47.79,47.75,47.87,47.4,47.54,47.77,47.73,47.07,47.53,47.73,47.618,18.58,14.13,16.08,18.73,17.33,3.15,2.64,27.92,16.25,28.58,12.33,0.66,5.35,2.26,97,NA,89.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,89.6,NA,NA,-8.95,1.55,NA,NA,1.55,NA,1.55
